Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticket,Date,Adj Close,Data,Hora
2022-12-02 10:00:00-03:00,9.850,9.980,9.560,9.950,8916800,0.0,0.0,AMER3,,,2022-12-02,10:00:00
2022-12-02 11:00:00-03:00,9.940,10.200,9.930,10.190,6936500,0.0,0.0,AMER3,,,2022-12-02,11:00:00
2022-12-02 12:00:00-03:00,10.180,10.230,9.900,9.930,5058400,0.0,0.0,AMER3,,,2022-12-02,12:00:00
2022-12-02 13:00:00-03:00,9.930,9.930,9.770,9.820,4395600,0.0,0.0,AMER3,,,2022-12-02,13:00:00
2022-12-02 14:00:00-03:00,9.820,9.900,9.700,9.760,2781200,0.0,0.0,AMER3,,,2022-12-02,14:00:00
2022-12-02 15:00:00-03:00,9.750,9.800,9.720,9.730,1860900,0.0,0.0,AMER3,,,2022-12-02,15:00:00
2022-12-02 16:00:00-03:00,9.730,9.770,9.710,9.750,1665600,0.0,0.0,AMER3,,,2022-12-02,16:00:00
2022-10-17 10:00:00-03:00,17.830,18.100,17.560,17.610,3903900,0.0,0.0,AMER3,,,2022-10-17,10:00:00
2022-10-17 11:00:00-03:00,17.610,17.830,17.520,17.660,2385800,0.0,0.0,AMER3,,,2022-10-17,11:00:00
2022-10-17 12:00:00-03:00,17.670,18.380,17.610,18.290,4443100,0.0,0.0,AMER3,,,2022-10-17,12:00:00
2022-10-17 13:00:00-03:00,18.280,18.660,18.090,18.140,4343900,0.0,0.0,AMER3,,,2022-10-17,13:00:00
2022-10-17 14:00:00-03:00,18.140,18.150,17.840,17.870,2175400,0.0,0.0,AMER3,,,2022-10-17,14:00:00
2022-10-17 15:00:00-03:00,17.880,18.070,17.800,18.000,1373300,0.0,0.0,AMER3,,,2022-10-17,15:00:00
2022-10-17 16:00:00-03:00,17.960,17.990,17.650,17.660,2338600,0.0,0.0,AMER3,,,2022-10-17,16:00:00
2022-08-09 10:00:00-03:00,14.420,14.510,13.420,13.480,0,0.0,0.0,AMER3,,,2022-08-09,10:00:00
2022-08-09 11:00:00-03:00,13.480,13.600,13.210,13.330,3356900,0.0,0.0,AMER3,,,2022-08-09,11:00:00
2022-08-09 12:00:00-03:00,13.320,13.650,13.230,13.620,2353200,0.0,0.0,AMER3,,,2022-08-09,12:00:00
2022-08-09 13:00:00-03:00,13.630,13.670,13.500,13.610,1505000,0.0,0.0,AMER3,,,2022-08-09,13:00:00
2022-08-09 14:00:00-03:00,13.600,13.660,13.520,13.570,828800,0.0,0.0,AMER3,,,2022-08-09,14:00:00
2022-08-09 15:00:00-03:00,13.560,13.620,13.500,13.550,1748400,0.0,0.0,AMER3,,,2022-08-09,15:00:00
2022-08-09 16:00:00-03:00,13.540,13.720,13.540,13.660,1681400,0.0,0.0,AMER3,,,2022-08-09,16:00:00
2022-08-09 17:00:00-03:00,13.620,13.620,13.620,13.620,672000,0.0,0.0,AMER3,,,2022-08-09,17:00:00
2022-10-27 10:00:00-03:00,13.900,14.460,13.800,14.220,4267900,0.0,0.0,AMER3,,,2022-10-27,10:00:00
2022-10-27 11:00:00-03:00,14.240,14.430,14.090,14.170,2366300,0.0,0.0,AMER3,,,2022-10-27,11:00:00
2022-10-27 12:00:00-03:00,14.160,14.390,14.080,14.340,1989500,0.0,0.0,AMER3,,,2022-10-27,12:00:00
2022-10-27 13:00:00-03:00,14.340,14.580,14.300,14.500,2029400,0.0,0.0,AMER3,,,2022-10-27,13:00:00
2022-10-27 14:00:00-03:00,14.490,14.680,14.360,14.380,2543800,0.0,0.0,AMER3,,,2022-10-27,14:00:00
